Día,Autor,País,Contacto,Estilo,Peso,Contraste,Ancho,Terminación,Opcional,Efectos
01,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
02,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
03,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
04,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
05,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
06,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
07,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
08,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
09,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
10,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
11,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
12,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
13,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
14,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
15,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
16,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
17,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
18,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
19,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
20,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
21,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
22,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
23,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
24,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
25,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
26,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
27,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
28,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
29,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
30,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
31,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
32,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
33,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
34,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
35,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
36,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx